                                Feature  Importance
4                     SLIMElastic_Score       740.0
6                          EASE_R_Score       415.0
2                            IALS_Score       375.0
19       StdSimilarityToSeenSLIMElastic       324.0
14                      ItemKNNCF_Score       290.0
5              SLIMElastic_RankPosition       290.0
0                                UserID       286.0
16       AvgSimilarityToSeenSLIMElastic       285.0
10                        P3alpha_Score       279.0
52             User_Std_Item_Popularity       274.0
28           MaxSimilarityToSeenItemKNN       271.0
20      SkewSimilarityToSeenSLIMElastic       262.0
64               Ratio_IALS_SLIMElastic       260.0
8                         RP3beta_Score       255.0
3                     IALS_RankPosition       254.0
11                 P3alpha_RankPosition       252.0
66                   Ratio_IALS_RP3beta       251.0
53                Pop_Diff_Item_UserAvg       245.0
61                    SVD_Item_Latent_2       243.0
41                   IALS_User_Latent_0       243.0
38                     user_profile_len       238.0
23               MaxSimilarityToSeenRP3       232.0
62                    SVD_Item_Latent_3       231.0
17       MaxSimilarityToSeenSLIMElastic       229.0
39                      mainstream_user       229.0
42                   IALS_User_Latent_1       226.0
40                      mainstream_item       220.0
29           StdSimilarityToSeenItemKNN       219.0
33                    Mean_RankPosition       214.0
46                   IALS_Item_Latent_0       209.0
37                      item_popularity       204.0
43                   IALS_User_Latent_2       202.0
48                   IALS_Item_Latent_2       201.0
68      Ratio_ScaledPureSVD_SLIMElastic       201.0
56                    SVD_User_Latent_2       196.0
21  KurtosisSimilarityToSeenSLIMElastic       191.0
7                   EASE_R_RankPosition       191.0
63                    SVD_Item_Latent_4       190.0
35                    Skew_RankPosition       190.0
45                   IALS_User_Latent_4       188.0
47                   IALS_Item_Latent_1       188.0
9                  RP3beta_RankPosition       187.0
55                    SVD_User_Latent_1       185.0
50                   IALS_Item_Latent_4       184.0
1                                ItemID       183.0
65                Diff_IALS_SLIMElastic       180.0
15               ItemKNNCF_RankPosition       180.0
54                    SVD_User_Latent_0       179.0
12                  ScaledPureSVD_Score       178.0
31      KurtosisSimilarityToSeenItemKNN       176.0
25              SkewSimilarityToSeenRP3       174.0
24               StdSimilarityToSeenRP3       172.0
58                    SVD_User_Latent_4       172.0
30          SkewSimilarityToSeenItemKNN       169.0
44                   IALS_User_Latent_3       169.0
27           AvgSimilarityToSeenItemKNN       162.0
49                   IALS_Item_Latent_3       160.0
34                     Std_RankPosition       158.0
59                    SVD_Item_Latent_0       156.0
36                Kurtosis_RankPosition       149.0
67                    Diff_IALS_RP3beta       144.0
60                    SVD_Item_Latent_1       140.0
57                    SVD_User_Latent_3       138.0
22               AvgSimilarityToSeenRP3       129.0
51                        Rank_Variance       118.0
26          KurtosisSimilarityToSeenRP3       116.0
69       Diff_ScaledPureSVD_SLIMElastic       105.0
13           ScaledPureSVD_RankPosition        96.0
32                  Counter_Recommended        50.0
18       MinSimilarityToSeenSLIMElastic         1.0
