                                Feature  Importance
4                     SLIMElastic_Score       661.0
6                          EASE_R_Score       435.0
17       MaxSimilarityToSeenSLIMElastic       327.0
2                            IALS_Score       290.0
16       AvgSimilarityToSeenSLIMElastic       283.0
18       StdSimilarityToSeenSLIMElastic       277.0
8                         RP3beta_Score       270.0
5              SLIMElastic_RankPosition       265.0
53                    SVD_User_Latent_0       264.0
0                                UserID       259.0
3                     IALS_RankPosition       250.0
71                 Ratio_IALS_ItemKNNCF       248.0
32                    Mean_RankPosition       247.0
52                Pop_Diff_Item_UserAvg       247.0
10                        P3alpha_Score       241.0
39                      mainstream_item       236.0
73          Ratio_SLIMElastic_ItemKNNCF       234.0
45                   IALS_Item_Latent_0       234.0
36                      item_popularity       226.0
51             User_Std_Item_Popularity       226.0
40                   IALS_User_Latent_0       221.0
63               Ratio_IALS_SLIMElastic       220.0
37                     user_profile_len       217.0
46                   IALS_Item_Latent_1       216.0
42                   IALS_User_Latent_2       214.0
65                   Ratio_IALS_RP3beta       210.0
28         StdSimilarityToSeenItemKNNCF       207.0
11                 P3alpha_RankPosition       206.0
19      SkewSimilarityToSeenSLIMElastic       205.0
38                      mainstream_user       203.0
27         MaxSimilarityToSeenItemKNNCF       202.0
44                   IALS_User_Latent_4       198.0
41                   IALS_User_Latent_1       196.0
49                   IALS_Item_Latent_4       191.0
22               MaxSimilarityToSeenRP3       191.0
35                Kurtosis_RankPosition       188.0
1                                ItemID       187.0
47                   IALS_Item_Latent_2       180.0
34                    Skew_RankPosition       177.0
62                    SVD_Item_Latent_4       177.0
61                    SVD_Item_Latent_3       177.0
48                   IALS_Item_Latent_3       176.0
7                   EASE_R_RankPosition       172.0
55                    SVD_User_Latent_2       171.0
29        SkewSimilarityToSeenItemKNNCF       168.0
43                   IALS_User_Latent_3       167.0
67      Ratio_ScaledPureSVD_SLIMElastic       167.0
30    KurtosisSimilarityToSeenItemKNNCF       161.0
20  KurtosisSimilarityToSeenSLIMElastic       160.0
60                    SVD_Item_Latent_2       158.0
14                      ItemKNNCF_Score       155.0
69          Ratio_ScaledPureSVD_RP3beta       154.0
21               AvgSimilarityToSeenRP3       152.0
59                    SVD_Item_Latent_1       151.0
26         AvgSimilarityToSeenItemKNNCF       151.0
64                Diff_IALS_SLIMElastic       150.0
23               StdSimilarityToSeenRP3       149.0
57                    SVD_User_Latent_4       143.0
9                  RP3beta_RankPosition       143.0
12                  ScaledPureSVD_Score       141.0
56                    SVD_User_Latent_3       140.0
72                  Diff_IALS_ItemKNNCF       140.0
54                    SVD_User_Latent_1       136.0
24              SkewSimilarityToSeenRP3       133.0
13           ScaledPureSVD_RankPosition       127.0
33                     Std_RankPosition       116.0
58                    SVD_Item_Latent_0       109.0
15               ItemKNNCF_RankPosition       108.0
68       Diff_ScaledPureSVD_SLIMElastic       107.0
70           Diff_ScaledPureSVD_RP3beta       103.0
74           Diff_SLIMElastic_ItemKNNCF       103.0
50                        Rank_Variance       103.0
25          KurtosisSimilarityToSeenRP3        94.0
66                    Diff_IALS_RP3beta        86.0
31                  Counter_Recommended        78.0
