trial_id,recall,alpha,topK
107,0.233533551,0.100322288,91
183,0.233509225,0.119549759,95
154,0.233506341,0.121836835,95
184,0.233499479,0.120343019,95
186,0.233477123,0.124093189,95
181,0.23347142,0.113163051,92
54,0.233469867,0.100829341,90
142,0.233469482,0.107940952,92
121,0.233469459,0.108100722,92
126,0.233468747,0.112949703,92
123,0.233465827,0.11237142,92
131,0.233463884,0.1078756,92
122,0.233463448,0.108205008,92
199,0.233463447,0.10824617,92
161,0.233461385,0.112225503,92
143,0.233457711,0.110870126,92
139,0.233457329,0.107563752,92
125,0.233456832,0.108316978,92
66,0.233454318,0.11149579,92
197,0.233448818,0.106873138,92
132,0.233448646,0.114766445,92
182,0.233447912,0.118096933,95
148,0.233447883,0.110980731,98
145,0.233447538,0.114660517,92
133,0.233446936,0.114537963,92
92,0.233445469,0.113941581,92
198,0.233445135,0.105992678,90
62,0.233444724,0.105963374,90
101,0.233444506,0.102304536,89
190,0.233444489,0.121002789,94
168,0.233444242,0.106557121,98
56,0.233444223,0.110400202,91
164,0.23344277,0.108667923,92
82,0.233442002,0.108654005,92
119,0.233441966,0.108593638,90
129,0.233441682,0.117027724,94
174,0.233441464,0.108945871,92
112,0.233440727,0.10012933,89
195,0.23343978,0.11941177,94
116,0.233439475,0.1101942,90
163,0.233439279,0.112564158,90
192,0.233439235,0.117921347,95
51,0.233439235,0.100167165,89
39,0.233437911,0.100344629,88
173,0.233437013,0.117233734,90
97,0.23343565,0.102709194,89
172,0.233435223,0.114078465,92
81,0.233435069,0.102562221,89
151,0.233432567,0.115582871,92
71,0.233430592,0.103340093,89
120,0.233428006,0.118472648,90
88,0.233427481,0.113567778,94
45,0.233424149,0.100570895,88
141,0.233422976,0.104672126,91
83,0.23341997,0.107942404,98
136,0.233419533,0.112471777,94
137,0.233419154,0.105733645,95
44,0.233417508,0.10246182,88
78,0.233417146,0.102688618,90
47,0.233415997,0.108223696,90
72,0.233415804,0.104894317,91
162,0.233412341,0.11059971,93
91,0.233411776,0.11171352,94
135,0.233410909,0.119142514,92
108,0.233408995,0.106670019,91
113,0.23340781,0.106211143,91
61,0.233406028,0.111228972,90
128,0.233405278,0.112275884,93
147,0.233402219,0.118654794,91
177,0.233401982,0.107805069,91
68,0.233400207,0.119026965,92
166,0.233399616,0.1144255,94
159,0.233397491,0.107628786,95
189,0.233394997,0.12107209,90
146,0.233390074,0.109163999,94
74,0.233388604,0.114639075,93
155,0.233387196,0.110234386,96
117,0.233386954,0.115679199,93
176,0.233386138,0.125154788,94
118,0.233385805,0.110646047,95
165,0.233385662,0.105318481,88
170,0.233385231,0.111204558,96
59,0.233385211,0.100217703,92
70,0.233385024,0.110292866,96
85,0.23338457,0.117581725,92
103,0.233382197,0.102491368,93
50,0.233379019,0.107009595,89
157,0.233377161,0.121929154,93
167,0.23337701,0.119990908,91
38,0.233375485,0.102732917,94
193,0.233373897,0.119198988,91
