user_id,item_list
0,2530 828 2399 2392 6411 4486 2628 3049 2168 4349 6492 3300 5532 2709 868 457 1252 596 5490 5723
1,6810 4936 2628 5630 3460 2509 2295 2907 1771 5223 2927 812 4483 6457 403 1949 5489 2955 3506 2329
2,2557 4264 5640 5390 2529 1539 5323 5369 495 5553 1544 5723 2228 2110 2324 1127 3285 6165 4877 4233
3,1458 336 4161 3713 6329 729 1554 6739 2873 6846 2653 1407 5543 5076 862 5252 1974 6771 1418 1940
4,3512 2808 4373 2167 4835 1638 4855 4532 6684 5356 5513 5369 2472 5069 5460 3966 3410 5847 2255 6843
5,3316 6624 3512 5442 4200 3410 1700 4484 5532 262 1073 2505 5369 6626 536 1143 3765 4532 1418 2255
6,236 999 3236 4720 3602 2891 6651 1302 6684 6431 2628 6316 2226 2167 2602 3873 2952 6338 3472 2399
7,2904 6190 596 5425 2970 290 283 3180 1985 2226 6516 2080 1373 868 4231 3666 4200 1791 601 3646
8,4533 2556 3236 6645 372 1974 536 5532 457 1279 1339 3000 814 594 531 1418 1192 4200 2653 5065
9,4200 2557 479 3602 2152 5553 372 531 6584 5854 4654 1539 200 5744 5252 868 3989 5778 355 123
10,4200 3713 3236 3040 4728 5069 6532 1554 3265 457 2556 414 6158 4613 5766 3537 4625 2059 1705 6626
11,2412 4691 1887 2556 4291 2871 5337 3410 1256 1488 2397 355 806 5766 1503 457 3285 814 3236 4195
12,4544 1974 2556 262 868 3410 3180 3373 2835 2653 5167 2557 3787 3236 4572 3945 372 5076 531 3604
13,5489 6073 2167 3666 1458 5812 2556 966 5919 2574 1210 2397 1245 1960 6935 5644 4480 4012 1373 6133
14,5469 5285 1596 828 5696 4405 1364 1696 1373 3294 3637 275 6630 5081 479 2228 2977 5230 531 4484
15,1656 2273 5553 2101 1009 2080 1222 5022 283 2904 5489 3445 1621 2216 2556 4029 4572 4809 4270 6513
16,4815 4291 4709 5609 1373 479 4570 1700 5356 5076 2110 5460 459 5323 4029 3236 6624 2556 4877 1294
17,1294 5252 1696 2329 1497 1168 4813 5323 4180 2369 414 6287 5407 3316 4027 3066 3410 1279 6382 1467
18,3236 262 6624 5335 5532 6464 4200 372 956 2228 531 2152 1418 955 1729 5167 1339 3316 3244 868
19,495 5073 1696 3373 2557 4709 4023 2167 3819 3269 1373 2110 5532 1339 3666 6454 6013 54 4728 4697
20,3617 6902 6173 2167 1458 6050 2438 1403 788 3410 1572 6519 624 1796 5081 1373 2024 6739 4833 1298
21,6034 1373 955 3180 2557 4691 5640 4581 3875 6291 3607 2703 2574 596 966 180 91 1458 4539 3239
22,2557 3607 3977 1210 3774 132 1960 57 4720 4312 4264 1731 355 3496 3824 4291 5965 5849 5919 4718
23,4709 2088 4459 1467 3180 2110 2556 3051 5407 5981 5323 4480 5236 6165 5489 3746 2397 457 6125 3666
24,6472 4478 5394 1940 4720 6018 2556 4813 596 271 1182 2341 5723 6730 3778 2970 5489 4231 1887 2917
25,2110 5295 1294 2556 4709 1339 4023 3493 3236 2080 4570 6624 5469 3285 355 2369 4291 372 2720 2628
26,4220 6353 412 5861 6561 868 4720 4245 1651 6018 1073 5738 2557 3040 407 3607 955 6627 2152 1494
27,6203 2167 3666 1402 457 5337 966 2557 1887 1651 1458 4231 2110 6034 1958 596 2808 3436 5766 2574
28,2657 4296 3516 3436 4029 4238 3918 536 1143 6635 14 3602 1503 3460 1373 6619 5854 1554 479 6624
29,4709 2556 5857 536 2329 5640 5723 1168 1452 2628 6098 5705 2093 1373 2369 1252 6291 814 2835 1339
30,3110 6050 3236 2438 814 2356 1339 5252 6771 5469 3666 5340 1418 1696 4200 372 5489 200 6624 187
31,6684 2871 2574 5064 5814 3472 1610 578 6158 6620 4970 5792 4200 6516 1901 3441 3989 1217 236 247
32,1015 984 2917 5356 515 479 6107 2698 5854 6725 1912 6840 1940 457 814 2360 1837 2101 91 6624
33,1983 2152 2341 2170 3180 1818 3445 3285 2628 6624 5553 601 868 1373 1968 2195 6497 3019 3410 4231
34,2324 2703 5671 3044 2648 4896 2216 2110 2557 5407 3666 457 6810 1038 5489 4322 2154 2628 4572 2252
35,5426 6158 927 5609 2779 2798 5158 4312 5065 1632 1329 201 4484 6096 6363 6808 729 4625 662 3765
36,4759 1257 2273 729 6561 966 868 2473 4351 4048 1038 1306 4012 2871 434 1791 596 2793 5284 2727
37,2399 2628 640 1329 5258 926 4720 2080 6492 3506 6930 5553 1539 4023 1867 261 355 6353 1294 2228
38,2228 2232 6635 3602 1373 5335 5469 868 2024 2653 3410 3236 531 5167 5950 777 1974 4023 5323 2873
39,729 6316 5469 5252 4200 536 3236 4554 1800 4180 2152 2556 6562 4625 1974 4720 1554 5907 814 2803
