trial_id,,num_factors,scaling_items,scaling_users,recall
0,,168,0.044287864,0.796024194,0.204112578
1,,57,0.070818444,0.748502633,0.198323182
2,,109,0.030411622,0.597085558,0.211215772
3,,36,0.031967183,0.754248358,0.191388271
4,,103,0.059365361,0.617982989,0.205287576
5,,243,0.014460478,0.69889992,0.204919799
6,,132,0.071039003,0.722308274,0.201334764
7,,223,0.059308334,0.614880407,0.192335629
8,,170,0.071720804,0.537584649,0.192962804
9,,198,0.004898679,0.532808697,0.207531277
10,,88,0.026782379,0.400772301,0.20886779
11,,96,0.033646248,0.401150964,0.206711718
12,,84,0.021388892,0.413111454,0.211438569
13,,11,0.017022293,0.468473471,0.177143207
14,,138,0.094032625,0.662345227,0.194675922
15,,66,0.002341144,0.534074022,0.214259201
16,,63,0.003760409,0.475735271,0.215295544
17,,54,0.003602924,0.488597082,0.213331337
18,,15,0.004771098,0.54936318,0.184168567
19,,68,2.66E-05,0.459611537,0.216349169
20,,40,0.096895017,0.459557437,0.19918612
21,,66,0.011493622,0.500584078,0.214251903
22,,71,0.000459175,0.455362394,0.217172817
23,,39,0.011822552,0.449892916,0.209398406
24,,117,0.04236057,0.430025837,0.202902613
25,,78,0.021536634,0.496835633,0.213713417
26,,150,0.000343214,0.566781373,0.214938914
27,,29,0.011905483,0.437038834,0.20294442
28,,75,0.022832065,0.486281235,0.213196644
29,,55,0.041087864,0.516160566,0.208870234
30,,169,0.008747717,0.46544385,0.206647335
31,,150,0.000638603,0.566559335,0.214919523
32,,185,0.00012183,0.57089267,0.211716902
33,,120,0.008026731,0.435222386,0.212354411
34,,149,0.016529387,0.475801772,0.208235628
35,,104,0.008157692,0.650576914,0.213629238
36,,118,0.082342159,0.587982255,0.197915324
37,,48,0.017867814,0.512816607,0.210232561
38,,94,0.050335046,0.642306979,0.207651087
39,,66,4.83E-05,0.445641112,0.215992073
40,,24,0.030883422,0.424199698,0.199392304
41,,66,0.007100059,0.448989942,0.214951755
42,,69,0.007735381,0.450903567,0.215486062
43,,73,0.014670523,0.449596983,0.214504286
44,,46,0.026593642,0.78155563,0.193608592
45,,91,0.036413648,0.41744538,0.206955681
46,,62,0.005906199,0.477219455,0.214810791
47,,84,0.009903971,0.51375158,0.215835818
48,,108,0.062015699,0.504923504,0.202652214
49,,81,0.025189948,0.400063901,0.21056045
50,,98,0.018083923,0.445101808,0.211758364
51,,54,0.01106733,0.518533537,0.211699221
52,,87,0.00417339,0.464285482,0.216112814
53,,86,0.006014094,0.456571484,0.21552742
54,,88,0.003467229,0.418111216,0.215228979
55,,82,0.014837355,0.464383745,0.214371068
56,,127,0.000204654,0.489884705,0.215082492
57,,101,0.004145476,0.526543876,0.217253457
58,,99,0.011482741,0.547047755,0.215030275
59,,246,0.004458252,0.53076893,0.201756754
60,,113,0.019832047,0.483281979,0.211143409
61,,87,0.003086799,0.462332723,0.216338356
62,,75,0.002652339,0.501887288,0.216808524
63,,74,0.003396516,0.474047424,0.216639011
64,,74,0.00380167,0.496602347,0.216338122
65,,75,0.013822334,0.497436187,0.214921766
66,,59,0.004001219,0.549406601,0.212063058
67,,49,0.002437752,0.524359886,0.210433772
68,,30,0.009682134,0.71430702,0.190700628
69,,104,0.01369244,0.50595612,0.214074424
70,,216,0.005714712,0.47245588,0.201905782
71,,74,0.002931761,0.489341591,0.216617121
72,,73,0.002194546,0.491391222,0.216525302
73,,42,0.002091785,0.435322059,0.211499408
74,,94,0.007563694,0.484069465,0.215780201
75,,71,0.010267409,0.542097496,0.214518744
76,,59,0.082076272,0.471006935,0.201305432
77,,79,0.000282962,0.488542569,0.217087924
78,,79,0.001523655,0.611453186,0.213342678
79,,50,0.053937286,0.525651802,0.206792807
80,,63,0.006574716,0.493261353,0.214672751
81,,79,0.000256724,0.479594143,0.217209796
82,,68,0.000481845,0.479740981,0.21611015
83,,81,0.008921829,0.506028439,0.215726397
84,,75,0.0060818,0.4401218,0.215767989
85,,100,0.012820486,0.455287151,0.213005778
86,,55,0.002179277,0.488547397,0.213459628
87,,92,0.008937747,0.427673418,0.213846897
88,,71,0.00610915,0.473359392,0.216129098
89,,62,0.016176816,0.507987362,0.213219984
90,,109,0.001113839,0.56113776,0.216988949
91,,125,0.000470763,0.558904038,0.216542464
92,,144,0.003153216,0.562741668,0.214763692
93,,128,0.000307612,0.574516971,0.216513482
94,,115,0.005048177,0.59073644,0.216236917
95,,123,0.007482399,0.556855933,0.214829548
96,,161,0.002530053,0.522370676,0.211886091
97,,138,0.011974929,0.532065995,0.212039754
98,,107,0.00516947,0.540009021,0.216308351
99,,96,0.002145347,0.555893692,0.216843497
