trial,recall,topK,learning_rate,lambda_i,lambda_j,recall
28,0.233273695,7,0.053383887,0.000388933,0.000161577,0.233273695
4,0.232626136,8,0.042515035,0.000436278,0.000255066,0.232626136
34,0.232362657,7,0.037926989,0.0002078,9.48E-05,0.232362657
32,0.231967846,7,0.03618675,0.000213052,9.34E-05,0.231967846
41,0.231944925,9,0.038397088,0.000457388,0.000106905,0.231944925
40,0.231666152,8,0.037652941,0.000454267,8.95E-05,0.231666152
42,0.231584266,10,0.032836676,0.000402097,0.000104167,0.231584266
30,0.231498215,6,0.035156778,0.000239486,0.000117589,0.231498215
21,0.23054094,14,0.072179004,0.000354589,0.000211042,0.23054094
25,0.230443227,12,0.08008182,0.000309753,0.000178683,0.230443227
9,0.230277336,12,0.085778749,0.000156778,0.000223671,0.230277336
31,0.23024983,6,0.033758507,0.000244306,0.000114543,0.23024983
22,0.230087659,15,0.073947279,0.000348236,0.000227668,0.230087659
7,0.230038872,14,0.071111371,0.000353376,0.000207345,0.230038872
11,0.229644571,6,0.089250555,0.000284757,0.000280988,0.229644571
27,0.229580385,17,0.074062738,0.00041799,0.000192746,0.229580385
36,0.229222989,8,0.026569214,0.000170931,9.49E-05,0.229222989
46,0.228022015,11,0.024937658,0.000487096,8.56E-05,0.228022015
35,0.226112676,20,0.039386415,0.000202153,9.80E-05,0.226112676
24,0.225795643,26,0.061095794,0.000430231,0.00013974,0.225795643
18,0.225706433,22,0.041842315,0.000378162,0.000243138,0.225706433
47,0.225480131,5,0.018878351,0.00016596,0.000126546,0.225480131
45,0.225452727,17,0.028439605,0.00034538,0.00010294,0.225452727
44,0.224914119,26,0.055701705,0.000114448,0.000155554,0.224914119
29,0.223187561,29,0.05170765,0.000387739,0.000154432,0.223187561
12,0.222324521,32,0.049049625,0.000138038,0.000272701,0.222324521
19,0.221239336,37,0.060843063,0.000112023,0.000349107,0.221239336
37,0.221111949,18,0.018324743,0.000267878,9.10E-05,0.221111949
10,0.220842536,34,0.041890063,0.000491022,0.000302137,0.220842536
8,0.220625641,22,0.02264111,8.07E-05,0.000392985,0.220625641
6,0.220435308,11,0.013578408,9.37E-05,0.000213178,0.220435308
16,0.220294688,23,0.022850386,0.000224789,0.000328172,0.220294688
13,0.219302207,45,0.071617789,0.000434245,0.000133124,0.219302207
26,0.218719181,39,0.041963919,0.000323458,0.000108241,0.218719181
23,0.218181038,2,0.048440257,0.000491044,0.000260755,0.218181038
43,0.217584739,2,0.043790924,0.000457562,0.000119658,0.217584739
14,0.217326675,2,0.035288822,0.000135248,0.000477361,0.217326675
48,0.216310198,42,0.037576195,0.000381791,9.87E-05,0.216310198
17,0.215687624,60,0.086110698,0.000155919,0.000148202,0.215687624
38,0.213206235,57,0.046683043,0.000183512,0.000127587,0.213206235
3,0.209386873,48,0.022233907,0.000134363,8.19E-05,0.209386873
20,0.209356924,60,0.02977913,0.000263844,0.00017858,0.209356924
39,0.208104631,88,0.058035916,0.000218031,8.03E-05,0.208104631
0,0.20783204,85,0.054125605,9.67E-05,0.000172395,0.20783204
15,0.206836873,99,0.061498005,0.000296856,0.000240667,0.206836873
1,0.206266529,73,0.030901399,0.000181929,0.00017347,0.206266529
49,0.205357486,74,0.031714721,0.000329671,0.000164972,0.205357486
2,0.198420675,71,0.014024452,0.000186676,0.00011413,0.198420675
5,0.194640279,77,0.011008442,0.000237887,0.000403005,0.194640279
33,0.191279415,1,0.027478733,0.000203977,8.33E-05,0.191279415
