trial,recall,topK,learning_rate,lambda_i,lambda_j
0,0.22393301508902613,32,0.07476807390095361,0.0001257438451384195,2.495174920510822e-05
1,0.21773627201246906,7,0.010034760615765964,0.00021340411369952616,1.1264790197017702e-05
2,0.21880424810094934,43,0.06850158860627048,0.00025902157465447143,7.777866068079585e-05
3,0.21941197368677406,22,0.019617708979302755,2.1443770988142173e-05,5.169564213595303e-05
4,0.22568793444821011,22,0.03615039212119882,0.00016147793221233072,3.416173560965766e-05
5,0.21302126121598425,47,0.030017609193484344,1.6747945899978943e-05,1.2242146519031885e-05
6,0.21180564844882904,24,0.011462718247022727,0.0001533266536043633,2.943923123252968e-05
7,0.23205582150920287,7,0.038506414503403356,0.00043470541501415343,1.3326531460896624e-05
8,0.21838944936501403,20,0.016472746892258406,0.00010334397951889284,1.6729317214737874e-05
9,0.2251528163264819,23,0.04536465085061912,1.043064483130596e-05,7.331812038356568e-05
10,0.23193603914280492,5,0.049086633580333085,0.0004997554010234795,0.00017027923263817894
11,0.18819504852845315,1,0.05045155365227097,0.0004962965175913965,0.00018279249943894016
12,0.2321382358189224,11,0.05214143495676343,0.0004913561547171159,0.00016731703871219314
13,0.22723481434100953,12,0.024562981767163622,4.923059726110208e-05,0.00010393952625846589
14,0.22913627858159508,13,0.08929179195769404,0.00030682230042038453,2.0797848120123903e-05
15,0.22919840859112167,14,0.03695474188409691,6.687670060490263e-05,4.733766653439758e-05
16,0.2225628806484346,33,0.06076823327048435,0.000323646586760755,0.00011997565066436407
17,0.23212114586015115,7,0.0363903972435666,3.8073337688708525e-05,1.5369692963640562e-05
18,0.2192887764966235,31,0.029599654672016865,3.954061355082131e-05,3.87961788143969e-05
19,0.2298383399826598,16,0.05903807973654023,3.1908678078360104e-05,6.139007708111103e-05
20,0.2172543224424562,2,0.0253047589690785,7.371119356554739e-05,0.00012183299156230582
21,0.23196385702941175,9,0.039468473605873286,0.00037479815765320844,1.4695535006133577e-05
22,0.23261216460219275,8,0.04132985323751641,2.4703758253683366e-05,1.9167332539137287e-05
23,0.22707318990353578,17,0.031491006414930335,2.4753508139068188e-05,2.0342130173359135e-05
24,0.23133185407023826,10,0.045526232818260716,1.526133749597818e-05,1.7264052297843806e-05
